emd_nm,latitude,longitude
건입동,33.515525,126.54232
구좌읍,33.520336,126.860134
남원읍,33.284905,126.750053
노형동,33.474901,126.826853
대륜동,33.27677459,126.5261525
대천동,33.250752,126.477623
도두동,33.507973,126.468231
동홍동,33.25257,126.575139
봉개동,33.439582,126.624996
삼도1동,33.509265,126.518551
삼도2동,33.513732,126.523013
삼양동,33.528264,126.589332
서홍동,33.245484,126.55406
성산읍,33.415613,126.8406
송산동,33.239596,126.564203
아라동,33.48236,126.534313
안덕면,33.28947946,126.352158
애월읍,33.471776,126.388751
연동,33.488932,126.497016
영천동,33.295948,126.588987
예래동,33.24416948,126.4055743
오라동,33.488917,126.50274
외도동,33.495874,126.442708
용담1동,33.511532,126.518276
용담2동,33.511565,126.511764
이도1동,33.507424,126.524738
이도2동,33.501083,126.530488
이호동,33.499807,126.458194
일도1동,33.512648,126.524501
일도2동,33.506391,126.544986
정방동,33.248303,126.566853
조천읍,33.538823,126.672487
중문동,33.25097,126.432052
중앙동,33.248253,126.56924
천지동,33.24807,126.561353
표선면,33.325071,126.841487
한경면,33.349503,126.182609
한림읍,33.425837,126.2703
화북동,33.51934,126.551761
효돈동,33.252029,126.623285
대정읍,33.221472,126.260719
